city,date,humidity,temp,temp_max,temp_min,weather,wind_speed,avg_temp,temp_rank,travel_score,is_rainy
Dubai,2026-05-16,41.0,35.96,35.96,34.14,clear sky,3.09,35.05,1,43.37,0
Bangkok,2026-05-16,60.0,32.94,32.94,31.94,overcast clouds,4.69,32.44,2,34.24,0
Mumbai,2026-05-16,66.0,31.99,31.99,31.94,haze,7.2,31.97,3,30.96,0
Singapore,2026-05-16,98.0,26.0,26.07,25.92,light rain,0.51,26.0,4,17.1,1
Istanbul,2026-05-16,46.0,22.39,24.99,22.31,clear sky,3.6,23.65,5,35.84,0
Tokyo,2026-05-16,64.0,20.7,21.47,19.78,clear sky,5.66,20.63,6,27.55,0
Barcelona,2026-05-16,41.0,18.49,20.66,17.15,clear sky,2.06,18.91,7,36.58,0
Sydney,2026-05-16,93.0,16.85,17.44,16.31,overcast clouds,2.15,16.88,8,15.11,0
Los Angeles,2026-05-16,78.0,16.15,17.14,15.01,overcast clouds,1.54,16.08,9,20.95,0
Budapest,2026-05-16,78.0,15.55,15.6,15.29,light rain,1.54,15.45,10,20.71,1
Madrid,2026-05-16,40.0,15.52,16.26,14.53,clear sky,1.54,15.4,11,35.9,0
Paris,2026-05-16,58.0,14.77,15.85,13.28,broken clouds,4.63,14.57,12,27.78,0
London,2026-05-16,52.0,13.82,14.97,12.95,scattered clouds,5.66,13.96,13,29.6,0
New York,2026-05-16,80.0,13.39,15.15,11.62,clear sky,2.06,13.39,14,18.94,0
Prague,2026-05-16,63.0,13.37,14.73,12.5,broken clouds,3.13,13.62,15,25.52,0
Berlin,2026-05-16,59.0,13.29,15.01,12.7,scattered clouds,5.14,13.86,16,26.69,0
Amsterdam,2026-05-16,69.0,10.94,11.05,10.0,broken clouds,5.57,10.53,17,21.66,0
Rome,2026-05-16,92.0,10.77,11.6,9.98,clear sky,0.0,10.79,18,13.51,0
Vienna,2026-05-16,90.0,10.07,11.01,9.27,broken clouds,6.26,10.14,19,12.78,0
Toronto,2026-05-16,77.0,9.51,10.73,8.4,clear sky,1.54,9.57,20,18.7,0
